Location,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Wrap,Cost,Reviewer,Rec,overall
rigoberto's taco shop,3.0,4.0,4.0,5.0,5.0,4.5,3.0,2.0,4.0,6.6,elynn,Yes,4.0
taco villa,4.0,3.5,3.5,2.0,3.0,4.5,4.5,3.0,5.0,5.99,scott,No,3.2
valentines mexican food,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,2.5,7.9,scott,Yes,4.2
valentines mexican food,3.0,4.0,4.0,3.5,4.5,4.0,3.5,2.5,1.5,7.9,emily,Yes,4.0
matador mexican food,3.2,1.4,3.7,3.0,3.2,4.8,2.4,3.0,3.0,6.6,scott,No,3.0
matador mexican food,4.0,4.0,3.5,3.5,3.5,4.0,3.0,3.5,4.5,6.6,brent,No,3.0
jose's taco,4.0,3.5,3.5,2.0,3.5,4.5,3.5,3.0,4.0,6.1,scott,No,3.3
cortez mexican food,4.0,3.5,4.0,2.5,3.0,1.5,2.5,2.5,5.0,6.25,scott,No,3.2
california burrito company,4.0,3.0,2.5,2.5,3.0,4.0,3.5,2.5,5.0,6.5,scott,No,3.3
california burrito company,4.0,3.5,5.0,3.0,3.0,3.5,3.5,2.0,5.0,5.5,devleena,Yes,3.5
california burrito company,2.0,3.0,5.0,3.0,4.0,2.0,2.0,2.0,4.0,5.5,sankha g,Yes,3.5
taco villa,3.5,3.0,3.0,3.0,3.0,3.7,3.5,3.8,5.0,6.99,scott,Yes,3.5
california burrito company,3.0,3.0,4.5,3.5,1.5,1.5,2.0,3.2,4.5,6.5,scott,No,2.2
california burrito company,3.0,3.0,4.0,4.5,3.0,2.0,4.0,4.5,4.5,5.5,ricardo,No,3.5
taco villa,4.0,4.5,5.0,3.0,3.0,3.0,2.5,0.0,5.0,4.99,sage,Yes,3.0
california burritos,4.0,4.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,6.95,elynn,Yes,4.0
california burritos,4.0,3.0,3.0,3.5,4.0,4.0,3.0,3.0,3.5,7.0,hannah,Yes,5.0
taco villa,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.5,5.0,5.95,scott,Yes,3.9
taco villa,3.5,2.0,5.0,4.2,3.0,4.7,5.0,3.7,5.0,6.99,sage,Yes,4.0
taco stand encinitas,4.0,2.0,3.5,4.2,4.3,4.0,2.2,4.5,2.2,7.49,scott,Yes,4.2
taco stand encinitas,2.0,3.8,3.8,4.0,4.2,3.75,4.0,4.75,3.8,7.49,emily,Yes,4.2
donato's taco shop,4.0,3.0,4.5,3.7,2.8,5.0,4.5,3.0,4.5,5.99,scott,No,3.0
donato's taco shop,2.0,2.0,4.0,4.5,4.0,4.0,3.0,4.0,2.0,5.99,elynn,Yes,4.0
ortiz's taco shop #2,4.0,4.0,4.0,4.0,4.0,4.5,4.5,4.2,4.5,6.39,scott,Yes,4.25
ortiz's taco shop #2,4.25,2.0,4.0,3.7,2.0,4.0,4.5,4.5,5.0,6.39,sage,No,2.66
ortiz's taco shop #2,4.5,3.0,4.4,4.0,4.0,4.5,4.2,4.3,5.0,6.39,shijia,Yes,4.2
el portal fresh mexican grill,2.3,4.0,4.0,3.5,2.0,1.5,2.0,2.0,1.2,7.35,scott,No,3.1
el portal fresh mexican grill,3.75,3.5,4.0,4.0,3.0,3.75,4.0,3.0,4.5,6.7,emily,Yes,3.75
el zarape,4.0,2.5,4.0,3.75,4.0,3.75,5.0,4.0,5.0,6.25,scott,Yes,3.9
el zarape,3.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,5.0,6.25,erik,No,3.0
famoso mexican street food,3.0,2.0,2.5,3.3,3.5,1.5,4.0,2.5,3.0,10.5,scott,No,3.1
valentines mexican food,3.0,4.5,4.7,4.5,3.5,4.0,4.5,4.5,5.0,6.75,scott,Yes,4.2
valentines mexican food,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,7.9,justin k,Yes,5.0
